ds,y,T,RH,NO2(GT)
2005-03-21 15:00:00,2.1,23.8,33.4,135.0
2005-03-21 16:00:00,2.0,22.8,35.3,131.0
2005-03-21 17:00:00,2.6,22.8,34.9,153.0
2005-03-21 18:00:00,4.5,20.9,39.3,198.0
2005-03-21 19:00:00,6.4,18.6,46.4,232.0
2005-03-21 20:00:00,6.0,17.2,52.7,224.0
2005-03-21 21:00:00,3.8,15.3,61.0,183.0
2005-03-21 22:00:00,2.1,14.2,65.4,144.0
2005-03-21 23:00:00,1.2,13.8,65.2,117.0
2005-03-22 00:00:00,1.3,13.3,65.6,106.0
2005-03-22 01:00:00,1.5,12.6,67.9,121.0
2005-03-22 02:00:00,0.9,12.8,64.5,87.0
2005-03-22 03:00:00,0.7,12.8,63.6,62.0
2005-03-22 04:00:00,0.5,12.0,65.2,70.0
2005-03-22 05:00:00,0.6,10.6,70.8,66.0
2005-03-22 06:00:00,0.7,10.9,69.2,88.0
2005-03-22 07:00:00,0.9,10.3,70.9,93.0
2005-03-22 08:00:00,2.2,11.8,66.3,116.0
2005-03-22 09:00:00,4.7,14.1,58.9,151.0
2005-03-22 10:00:00,4.5,16.5,51.6,169.0
2005-03-22 11:00:00,3.1,20.2,42.1,166.0
2005-03-22 12:00:00,2.8,21.7,39.0,160.0
2005-03-22 13:00:00,2.4,23.5,35.0,145.0
2005-03-22 14:00:00,2.5,23.5,34.2,131.0
2005-03-22 15:00:00,2.0,25.5,28.3,130.0
2005-03-22 16:00:00,1.7,25.5,24.7,122.0
2005-03-22 17:00:00,1.7,22.9,29.2,113.0
2005-03-22 18:00:00,3.3,21.3,32.9,156.0
2005-03-22 19:00:00,4.5,20.1,42.4,198.0
2005-03-22 20:00:00,5.8,18.6,46.6,175.0
2005-03-22 21:00:00,4.3,17.4,50.6,141.0
2005-03-22 22:00:00,3.0,16.4,57.2,101.0
2005-03-22 23:00:00,2.8,16.3,59.4,102.0
2005-03-23 00:00:00,2.7,16.0,60.2,119.0
2005-03-23 01:00:00,2.4,15.6,61.6,110.0
2005-03-23 02:00:00,2.2,15.4,62.0,87.0
2005-03-23 03:00:00,2.0,15.2,63.5,66.0
2005-03-23 04:00:00,1.25,14.5,66.4,65.0
2005-03-23 05:00:00,0.5,15.0,64.8,63.0
2005-03-23 06:00:00,0.7,14.2,68.3,71.0
2005-03-23 07:00:00,1.2,14.0,68.6,103.0
2005-03-23 08:00:00,3.9,15.4,63.4,144.0
2005-03-23 09:00:00,4.9,17.8,53.3,158.0
2005-03-23 10:00:00,4.6,19.4,47.5,169.0
2005-03-23 11:00:00,3.4,21.4,38.7,184.0
2005-03-23 12:00:00,2.0,22.9,29.3,143.0
2005-03-23 13:00:00,1.9,24.2,26.5,133.0
2005-03-23 14:00:00,2.4,24.5,23.1,141.0
2005-03-23 15:00:00,2.4,23.1,22.8,153.0
2005-03-23 16:00:00,2.2,23.3,23.8,149.0
2005-03-23 17:00:00,2.5,23.2,23.3,159.0
2005-03-23 18:00:00,3.9,22.7,25.5,181.0
2005-03-23 19:00:00,6.2,21.0,29.2,227.0
2005-03-23 20:00:00,7.2,19.5,35.6,230.0
2005-03-23 21:00:00,3.9,18.8,37.3,194.0
2005-03-23 22:00:00,2.4,17.7,39.7,172.0
2005-03-23 23:00:00,2.3,16.7,45.2,158.0
2005-03-24 00:00:00,1.9,15.9,47.0,144.0
2005-03-24 01:00:00,1.7,15.1,50.2,133.0
2005-03-24 02:00:00,0.9,15.3,49.2,109.0
2005-03-24 03:00:00,0.7,13.1,56.1,94.0
2005-03-24 04:00:00,0.5,13.3,54.4,73.0
2005-03-24 05:00:00,0.4,12.4,58.3,76.0
2005-03-24 06:00:00,0.4,12.9,56.0,74.0
2005-03-24 07:00:00,0.7,11.9,59.6,73.0
2005-03-24 08:00:00,3.1,13.4,55.1,107.0
2005-03-24 09:00:00,3.4,16.1,46.4,115.0
2005-03-24 10:00:00,3.5,17.9,42.2,132.0
2005-03-24 11:00:00,3.2,18.2,43.2,155.0
2005-03-24 12:00:00,3.2,16.0,67.9,140.0
2005-03-24 13:00:00,3.3,17.6,59.7,147.0
2005-03-24 14:00:00,3.0,20.9,43.4,161.0
2005-03-24 15:00:00,2.0,24.1,33.3,123.0
2005-03-24 16:00:00,2.3,22.9,35.2,142.0
2005-03-24 17:00:00,2.2,22.2,36.2,143.0
2005-03-24 18:00:00,2.7,21.3,37.8,153.0
2005-03-24 19:00:00,5.9,20.1,43.2,200.0
2005-03-24 20:00:00,7.5,18.8,49.1,232.0
2005-03-24 21:00:00,5.0,18.2,52.2,201.0
2005-03-24 22:00:00,4.0,17.4,57.3,175.0
2005-03-24 23:00:00,2.7,17.0,56.6,159.0
2005-03-25 00:00:00,2.0,16.2,66.3,135.0
2005-03-25 01:00:00,1.5,15.3,73.3,128.0
2005-03-25 02:00:00,1.0,15.2,73.3,109.0
2005-03-25 03:00:00,1.0,13.9,80.4,101.0
2005-03-25 04:00:00,0.9,13.6,82.8,96.0
2005-03-25 05:00:00,0.8,13.7,82.0,87.0
2005-03-25 06:00:00,0.6,13.7,78.0,81.0
2005-03-25 07:00:00,1.0,14.1,75.5,100.0
2005-03-25 08:00:00,3.2,14.8,73.6,146.0
2005-03-25 09:00:00,4.3,16.0,67.8,158.0
2005-03-25 10:00:00,2.7,18.4,59.2,136.0
2005-03-25 11:00:00,1.6,20.4,50.5,117.0
2005-03-25 12:00:00,1.4,21.3,46.6,140.0
2005-03-25 13:00:00,2.3,20.4,49.8,169.0
2005-03-25 14:00:00,2.1,21.1,47.8,163.0
2005-03-25 15:00:00,1.4,21.5,47.8,144.0
2005-03-25 16:00:00,3.4,21.7,47.4,153.0
2005-03-25 17:00:00,3.8,21.0,49.8,164.0
2005-03-25 18:00:00,4.9,20.4,51.9,174.0
2005-03-25 19:00:00,5.7,19.4,56.3,196.0
2005-03-25 20:00:00,5.5,18.8,58.3,189.0
2005-03-25 21:00:00,3.9,18.2,61.0,155.0
2005-03-25 22:00:00,3.1,17.7,63.3,137.0
2005-03-25 23:00:00,2.0,17.7,63.5,117.0
2005-03-26 00:00:00,2.5,17.1,66.9,128.0
2005-03-26 01:00:00,2.2,16.8,69.0,124.0
2005-03-26 02:00:00,1.5,16.6,70.0,108.0
2005-03-26 03:00:00,1.2,16.1,71.3,89.0
2005-03-26 04:00:00,1.0,16.2,71.2,92.0
2005-03-26 05:00:00,0.8,16.3,69.8,84.0
2005-03-26 06:00:00,0.1,16.1,70.0,83.0
2005-03-26 07:00:00,1.1,16.1,69.5,80.0
2005-03-26 08:00:00,1.7,16.5,68.1,93.0
2005-03-26 09:00:00,2.1,17.4,65.0,106.0
2005-03-26 10:00:00,2.3,18.4,60.2,115.0
2005-03-26 11:00:00,2.1,19.1,57.5,124.0
2005-03-26 12:00:00,1.9,21.2,48.4,113.0
2005-03-26 13:00:00,1.7,22.3,43.9,104.0
2005-03-26 14:00:00,1.3,23.7,39.4,85.0
2005-03-26 15:00:00,1.3,23.1,41.2,94.0
2005-03-26 16:00:00,1.6,25.7,35.7,99.0
2005-03-26 17:00:00,2.2,24.3,38.4,112.0
2005-03-26 18:00:00,2.3,21.9,45.1,122.0
2005-03-26 19:00:00,2.2,19.7,51.8,119.0
2005-03-26 20:00:00,2.0,18.7,54.5,119.0
2005-03-26 21:00:00,2.3,17.8,58.1,127.0
2005-03-26 22:00:00,2.2,17.3,60.8,126.0
2005-03-26 23:00:00,1.6,16.5,63.8,111.0
2005-03-27 00:00:00,1.6,16.3,65.2,102.0
2005-03-27 01:00:00,1.3,16.5,63.8,93.0
2005-03-27 02:00:00,1.0,16.6,63.0,78.0
